pitcher_id,pitch_type_name,pitches_thrown,pitcher_break_z,pitcher_break_x,spin_rate,active_spin,diff_clock_label,release_speed,movement_inches
615698,FC,769,28.95461638491547,2.7914174252275683,2207.0,0.3643207739433059,-1H 30M,88.4,6.1
579328,FF,1395,13.410107526881722,9.393906810035842,2167.0,0.9697792127310984,+0H 15M,95.0,19.1
593958,FF,1265,17.1,7.157707509881423,2176.0,0.834658490439934,+0H 15M,92.6,16.0
615698,SI,1242,16.503784219001613,13.150966183574878,2156.0,0.95150460483248,+0H 30M,94.9,18.9
605288,SI,1846,23.468580715059588,15.851733477789816,2067.0,0.845148241450473,+1H 00M,93.2,17.1
641712,SI,447,22.903355704697987,12.979194630872483,2098.0,0.8927573392100656,+1H 00M,92.9,17.9
676477,SI,788,17.97791878172589,16.088832487309645,2093.0,0.9793453211643982,+0H 30M,95.9,19.9
641154,FF,996,17.60963855421687,6.356024096385543,2125.0,0.804964606694345,-0H 15M,93.9,14.4
623167,FF,1298,13.48659476117103,2.1206471494607086,2107.0,0.9200306698342984,-0H 15M,92.8,17.9
664353,FF,1303,12.39309286262471,7.679739063699157,2216.0,0.9882960676416784, 0H 00M,93.1,20.5
596295,FF,1201,14.415820149875103,5.831057452123231,2131.0,0.993751696396872,+0H 15M,92.4,19.0
543135,FF,1690,14.920236686390531,12.023550295857987,2115.0,0.9771426944795996,-0H 15M,97.4,17.6
621368,FF,1158,13.453108808290155,6.458031088082901,2277.0,0.9164311042844452,+0H 15M,95.0,18.2
664299,FF,1795,13.437381615598884,7.57158774373259,2363.0,0.928096272324126, 0H 00M,92.2,19.0
450203,FF,1479,17.3289384719405,12.27396889790399,2348.0,0.8563171990492199,-0H 30M,93.4,17.6
668676,FF,1380,14.589782608695653,8.234565217391305,2084.0,0.9837666544257144,-0H 15M,92.8,18.2
641154,CH,982,32.70264765784114,17.224745417515273,1966.0,0.8550115289258254,+0H 45M,87.2,17.8
450203,CU,1481,52.72194463200541,16.618433490884538,2886.0,0.7863658370976186, 0H 00M,78.2,22.1
656302,SL,1401,39.21413276231264,6.875374732334048,2790.0,0.5105887479295897, 0H 00M,85.0,9.7
669456,FF,1186,13.264586846543,9.129342327150084,2356.0,0.976191984276338, 0H 00M,94.1,20.0
592662,SL,1448,28.22154696132597,0.9569060773480664,2380.0,0.3330253224800659,+0H 45M,86.6,6.5
677651,FF,1394,12.98751793400287,5.316786226685796,2310.0,0.9184261417122837,-0H 15M,94.0,18.5
593423,FS,963,32.21516095534787,11.525649013499482,1644.0,0.803498385615679,+1H 00M,86.5,13.9
543294,SI,1745,26.480057306590258,13.374727793696273,1856.0,0.8339003037856875,+1H 15M,87.3,15.7
666374,FF,166,15.5,12.1,2220.0,0.9200835190443784,-0H 15M,95.9,18.7
608337,FF,2083,12.171291406625059,6.61867498799808,2351.0,0.9935053075972364, 0H 00M,94.0,19.6
657277,CH,970,41.257113402061854,9.877422680412371,1584.0,0.8675300837358486,+1H 00M,84.5,13.8
571578,SI,1318,20.106980273141122,13.718437025796662,2094.0,0.8595505981578826,-0H 45M,90.2,18.3
622694,SL,604,32.74254966887417,11.082284768211922,2280.0,0.5170069522653942,+0H 45M,79.1,15.7
453178,FF,1042,13.664971209213054,10.69165067178503,2417.0,0.938688266553765,-0H 15M,93.4,18.0
641540,SI,1401,26.70778015703069,14.674875089221985,2088.0,0.8294470966826414,+1H 00M,91.9,16.6
621111,FF,1886,11.76998939554613,3.6187698833510074,2587.0,0.9197683272925368, 0H 00M,96.9,19.6
622608,FF,2108,19.649193548387096,5.132068311195447,2139.0,0.8182464445511303, 0H 00M,94.4,11.7
425794,CU,1564,66.43708439897699,16.696994884910488,2791.0,0.9681176692884436, 0H 00M,73.5,24.8
641482,FC,520,29.96153846153846,5.323076923076923,2351.0,0.4045697639964094,+1H 15M,85.4,8.2
663978,FF,1869,13.579400749063671,9.632691278758694,2161.0,0.9953686716113566, 0H 00M,94.1,18.8
605540,FF,1519,12.451020408163265,6.3601053324555625,2464.0,0.8885746504238035,-0H 15M,96.6,18.1
471911,FF,894,16.200223713646533,7.861968680089486,2470.0,0.8318909598506236,-0H 15M,93.6,17.1
425844,FF,1618,18.05469715698393,1.184857849196539,2333.0,0.7837659571472367,-0H 15M,88.1,16.8
571578,SL,1637,41.915210751374474,3.5691508857666463,2242.0,0.2154355702209503,-0H 15M,79.2,4.6
621107,SI,1300,23.944307692307692,16.81569230769231,2085.0,0.8849098916968262,+0H 45M,93.7,18.9
605200,CH,1440,36.02027777777778,14.019583333333333,1719.0,0.9861767769650474, 0H 00M,79.4,16.6
628711,FF,1968,13.579979674796748,3.620782520325203,2481.0,0.8538392594124571,+0H 30M,94.2,17.4
425794,SI,1266,22.387677725118483,12.677251184834121,2194.0,0.7936621479766813,+1H 00M,89.3,16.5
676596,SI,1147,28.853705318221444,18.203225806451613,1863.0,0.910918494784042,-0H 45M,90.5,19.6
663460,FF,1795,17.16217270194986,6.219944289693593,2158.0,0.9140861149422838,+0H 15M,91.4,16.9
666200,CU,860,38.10395348837209,0.48395348837209307,2537.0,0.1828289427618497,-0H 15M,83.9,3.3
656546,FF,1131,13.246507515473033,10.597347480106102,2428.0,0.9931048411245976, 0H 00M,94.5,17.9
657140,CU,235,46.88553191489362,12.079148936170215,2733.0,0.6591474783521966,+0H 15M,82.1,16.2
527048,SI,804,21.72151741293532,16.676492537313433,1951.0,0.9635352440025304,-0H 30M,91.9,19.9
592332,FS,1482,36.782321187584344,12.869635627530364,1595.0,0.759984789544932,+1H 15M,84.0,13.7
623167,FC,976,27.184426229508198,5.16905737704918,2299.0,0.5391834782057143,-0H 45M,89.1,8.3
641745,SL,1295,41.01235521235521,6.067799227799227,2595.0,0.4529380306506708,-1H 00M,84.6,9.9
656686,FF,367,14.017711171662125,6.44032697547684,2348.0,0.893625907978102,-0H 15M,94.1,17.5
641482,FF,859,14.740512223515717,5.467753201396972,2158.0,0.927783404493324,+0H 30M,88.2,18.4
657277,SI,1118,31.398389982110913,15.624686940966011,1986.0,0.8600833890148835,+0H 45M,91.6,19.1
666157,SI,147,20.9,17.8,2319.0,0.996621686608685, 0H 00M,94.2,20.8
663556,FF,944,13.068008474576272,10.546398305084745,2256.0,0.9677439220899676, 0H 00M,96.4,19.2
500779,FF,724,16.592265193370164,3.446132596685083,2017.0,0.9514154806879626, 0H 00M,91.4,16.0
666374,SL,146,40.8,17.4,2816.0,0.5645049246000807,+0H 45M,84.4,18.8
663738,FF,655,15.5993893129771,7.210839694656489,2114.0,0.9119289817141984, 0H 00M,93.8,16.5
641745,FF,1175,17.300255319148935,1.6965106382978725,2367.0,0.6531679488803533,-0H 45M,92.8,12.7
607200,CU,866,44.87205542725173,13.921709006928408,2275.0,0.6267923105723071,+0H 15M,79.5,13.4
608566,FF,1886,17.843637327677627,6.315535524920467,2160.0,0.8973777795856597,-0H 15M,95.9,14.7
573186,SI,1304,27.91111963190184,9.666564417177915,2284.0,0.5870112056605611,+1H 30M,91.9,11.0
543294,CH,1240,31.84467741935484,12.691935483870967,2064.0,0.8211402293436988,+0H 15M,79.7,16.0
672578,FF,1075,12.109395348837207,7.668093023255815,2373.0,0.9507543357571486,-0H 15M,96.2,19.0
641927,FF,1000,15.9552,6.630400000000001,2178.0,0.8708696012514796, 0H 00M,92.3,16.6
621244,FF,1236,16.2336569579288,10.201294498381879,2189.0,0.963280500446601,-0H 15M,94.5,18.5
675911,FF,143,10.1,5.5,2356.0,0.9240069584069618,-0H 15M,97.9,17.1
477132,SL,1330,28.21789473684211,4.8397744360902255,2681.0,0.4873856677787776,+0H 15M,87.9,8.9
608331,FF,1516,18.458047493403694,1.4000000000000001,2122.0,0.7042958196000126,+0H 15M,93.1,10.8
554430,FF,1960,13.575867346938775,7.414285714285715,2333.0,0.8642616982030437,-0H 15M,97.0,14.8
521230,FF,1163,10.11865864144454,6.883061049011178,2441.0,0.9844628880832654, 0H 00M,96.0,21.0
656945,SL,807,36.52180916976456,5.512143742255267,2769.0,0.2943912461878689,+1H 00M,88.2,6.2
519326,FF,644,16.52189440993789,3.487577639751553,2370.0,0.8443312803202968,-0H 30M,95.6,16.3
605280,SI,802,23.91758104738155,15.446134663341645,2215.0,0.7660130548904451,+1H 15M,96.1,16.8
593423,FF,1238,12.0,7.0609046849757675,2394.0,0.915615014344502,-0H 15M,95.9,19.0
605400,FF,1535,17.6,13.372964169381108,2176.0,0.9756959003029866,-0H 15M,92.8,19.4
506433,FF,918,11.832788671023964,6.2816993464052295,2592.0,0.8924164256749093, 0H 00M,95.9,18.9
607074,SL,743,38.2935397039031,8.274831763122474,2404.0,0.297855160479418,+0H 15M,83.4,9.6
669456,SL,680,36.91441176470588,1.930588235294118,2553.0,0.2717022627905224,-1H 00M,84.5,6.1
502042,SL,276,31.389855072463764,5.198550724637681,2432.0,0.3625917516654121,-1H 00M,87.2,6.4
592767,CU,1212,44.58754125412541,2.8808580858085806,2220.0,0.377873672736259,+0H 45M,80.0,7.0
434378,SL,138,31.800000000000004,3.4,2549.0,0.3301622219869823,-1H 15M,87.1,7.9
645261,FF,969,14.636119711042312,10.513519091847266,2320.0,0.8939842131469404,-0H 15M,96.9,17.8
664747,FF,138,15.5,5.0,2714.0,0.6998695575449936,-0H 30M,95.5,14.8
666120,CH,995,23.44221105527638,10.278994974874372,1705.0,0.9817327992441258,+0H 15M,87.4,15.7
622072,SL,910,40.784065934065936,3.2937362637362635,2218.0,0.143388674529445, 0H 00M,84.7,2.8
592826,FF,1347,12.903934669636227,4.1869339272457315,2435.0,0.8927025787056492,-0H 15M,93.8,19.5
641540,SL,671,48.01803278688525,4.769746646795827,2069.0,0.3954559752941919,+0H 30M,81.5,8.6
663158,FF,134,12.8,10.3,2260.0,0.9569449051576228,+0H 15M,97.2,19.6
666201,SL,646,41.73777089783282,15.624458204334365,2246.0,0.5018021199439003,+0H 45M,81.1,16.5
605164,FF,998,14.262124248496994,4.936072144288578,2432.0,0.8879598304845606,-0H 15M,90.1,19.1
571945,SL,315,31.497777777777774,3.9266666666666667,2395.0,0.2677922822837574,-1H 00M,87.4,5.2
607259,FF,133,14.3,7.4,2310.0,0.8764042070655155,-0H 15M,92.8,19.0
506433,FC,1540,34.97038961038961,5.020974025974026,2769.0,0.3594699797969979,-1H 15M,87.0,7.7
596295,SL,665,34.82751879699247,5.32751879699248,2297.0,0.3581554743835455,+1H 00M,85.9,6.2
640455,CH,1087,32.9458141674333,11.34296228150874,1102.0,0.8396762359358951,-0H 30M,82.5,7.8
641778,FF,1088,14.868382352941177,10.348345588235293,2214.0,0.9782000385502077, 0H 00M,91.5,19.2
